2025,Jan,Feb,Mar,Q1 Bonus,April,May,June,Q2 Bonus,July,Aug,Sep,Q3 Bonus,Oct,Nov,Dec,Q4 Bonus
New Provider,,,,,,,,,,,,,,,,
Example One,,,,,,,,,,,,,,,,
Charges from M to M,3255.92,18120.33,29774.01,,"46,800.71",37973.14,"50,173.73",,"50,948.55","35,949.34",62245.62,,64587.28,48751.23,58298.06,
Receipts from M to M,320.33,7271.36,12957.37,20549.06,"17,100.39","27,117.64","25,668.34",69886.37,"32,098.98","25,141.31",35925.37,93165.66,39786.32,43824.19,41238.24,124848.75
"Minus 105,000.00",,,,-105000.00,,,,-105000.00,,,,-105000.00,,,,-105000.00
Total for Bonus,,,,-84450.94,,,,-35113.63,,,,-11834.34,,,,19848.75
Total for Bonus * 0.25,,,,-21112.74,,,,-8778.41,,,,-2958.59,,,,4962.19
,,,,,,,,,,,,,,,,
Quarterly Bonus,,,,-21112.74,,,,-29891.14,,,,-32849.73,,,,-27887.54
,,,,,,,,,,,,,,,,
Patients Seen,16,77,134,,214,163,223,,233,160,246,,278,264,288,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Example Two,,,,,,,,,,,,,,,,
Charges from M to M,12235.09,30998.12,39661.20,,,,,,,,,,,,,
Receipts from M to M,2389.23,14211.89,22728.30,39329.42,,,,,,,,,,,,
"Minus 105,000.00",,,,-105000.00,,,,,,,,,,,,
Total for Bonus,,,,-65670.58,,,,,,,,,,,,
Total for Bonus * 0.25,,,,-16417.65,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Quarterly Bonus,,,,-16417.65,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Patients Seen,43,137,197,,,,,,,,,,,,,
